mics,hemisphere,network,label,t1_gradient1_SalVentAttn,fc_g1,fc_g1_network,network_int,t1_gradient1_Limbic,t1_gradient1_Default,t1_gradient1_Cont,t1_gradient1_DorsAttn,t1_gradient1_Vis,t1_gradient1_SomMot,Limbic_SC_P,Limbic_SC_dominant,Default_SC_P,Default_SC_dominant,Cont_SC_P,Cont_SC_dominant,SalVentAttn_SC_P,SalVentAttn_SC_dominant,DorsAttn_SC_P,DorsAttn_SC_dominant,Vis_SC_P,Vis_SC_dominant,SomMot_SC_P,SomMot_SC_dominant,Limbic_GD_P,Limbic_GD_dominant,Default_GD_P,Default_GD_dominant,Cont_GD_P,Cont_GD_dominant,SalVentAttn_GD_P,SalVentAttn_GD_dominant,DorsAttn_GD_P,DorsAttn_GD_dominant,Vis_GD_P,Vis_GD_dominant,SomMot_GD_P,SomMot_GD_dominant,Limbic_MPC_P,Limbic_MPC_dominant,Default_MPC_P,Default_MPC_dominant,Cont_MPC_P,Cont_MPC_dominant,SalVentAttn_MPC_P,SalVentAttn_MPC_dominant,DorsAttn_MPC_P,DorsAttn_MPC_dominant,Vis_MPC_P,Vis_MPC_dominant,SomMot_MPC_P,SomMot_MPC_dominant,Limbic_FC_P,Limbic_FC_dominant,Default_FC_P,Default_FC_dominant,Cont_FC_P,Cont_FC_dominant,SalVentAttn_FC_P,SalVentAttn_FC_dominant,DorsAttn_FC_P,DorsAttn_FC_dominant,Vis_FC_P,Vis_FC_dominant,SomMot_FC_P,SomMot_FC_dominant
1039.0,LH,SomMot,7Networks_LH_SomMot_8,,5.3250546,5.509787,5.0,,,,,,0.3985204880618421,,,,,,,,,,,,,1.120524529555339,4.0,,,,,,,,,,,,,-0.22571939455299142,1.0,,,,,,,,,,,,,-0.14588380101632253,1.0,,,,,,,,,,,,,-1.285425170691461,1.0
1036.0,LH,SomMot,7Networks_LH_SomMot_5,,5.2707634,5.509787,5.0,,,,,,0.7659309855543338,,,,,,,,,,,,,1.4128521437631711,4.0,,,,,,,,,,,,,-0.2734440673273887,1.0,,,,,,,,,,,,,0.5455331146270704,1.0,,,,,,,,,,,,,-0.707426973330528,1.0
1036.0,LH,SomMot,7Networks_LH_SomMot_5,,5.277173,5.509787,5.0,,,,,,0.3380097821470729,,,,,,,,,,,,,1.907329426971896,4.0,,,,,,,,,,,,,-0.31003987598299787,1.0,,,,,,,,,,,,,0.2934408759674523,1.0,,,,,,,,,,,,,0.0774332169104558,6.0
1137.0,LH,Cont,7Networks_LH_Cont_PFCl_3,,-5.0772767,-4.458974,0.0,,,-0.7603723347010124,,,,,,,,-0.7269610798084604,1.0,,,,,,,,,,,,,-0.9902141168847428,1.0,,,,,,,,,,,,,-0.1822494049974614,1.0,,,,,,,,,,,,,-0.024397508406604297,1.0,,,,,,,,
1137.0,LH,Cont,7Networks_LH_Cont_PFCl_3,,-4.7137027,-4.458974,0.0,,,-0.7455241526435492,,,,,,,,-0.9831873785426927,1.0,,,,,,,,,,,,,-0.9016107133724585,1.0,,,,,,,,,,,,,-0.5995027689902064,1.0,,,,,,,,,,,,,0.43319835926832867,1.0,,,,,,,,
1136.0,LH,Cont,7Networks_LH_Cont_PFCl_2,,-4.139415,-4.458974,0.0,,,-0.9731433204681283,,,,,,,,-0.9906794528393589,1.0,,,,,,,,,,,,,-0.8208493290492737,1.0,,,,,,,,,,,,,-1.2407712855374187,1.0,,,,,,,,,,,,,0.7920763491937381,1.0,,,,,,,,
1136.0,LH,Cont,7Networks_LH_Cont_PFCl_2,,-3.4628983,-4.458974,0.0,,,-0.4481967021539649,,,,,,,,-0.6157315935690015,1.0,,,,,,,,,,,,,-0.7449231224344189,1.0,,,,,,,,,,,,,-0.6829888920607557,1.0,,,,,,,,,,,,,0.644531044229664,1.0,,,,,,,,
1136.0,LH,Cont,7Networks_LH_Cont_PFCl_2,,-3.197553,-4.458974,0.0,,,-0.5479182877779202,,,,,,,,-0.3945673555507795,1.0,,,,,,,,,,,,,-0.6903710243470914,1.0,,,,,,,,,,,,,-0.4259797360197502,1.0,,,,,,,,,,,,,0.14876313855712342,1.0,,,,,,,,
1136.0,LH,Cont,7Networks_LH_Cont_PFCl_2,,-4.508076,-4.458974,0.0,,,-0.9089094955295332,,,,,,,,-0.03560823511335826,1.0,,,,,,,,,,,,,-0.6475583582453796,1.0,,,,,,,,,,,,,-1.1365135882851058,1.0,,,,,,,,,,,,,-0.4544137001683895,1.0,,,,,,,,
1175.0,LH,Default,7Networks_LH_Default_PFC_10,,-6.5492167,-5.9749813,1.0,,-0.6905599491970037,,,,,,,-0.19075204466330845,0.0,,,,,,,,,,,,,-1.2302197385900768,5.0,,,,,,,,,,,,,-0.6523114782881485,5.0,,,,,,,,,,,,,-0.9450249184776857,0.0,,,,,,,,,,
1175.0,LH,Default,7Networks_LH_Default_PFC_10,,-7.6993594,-5.9749813,1.0,,0.7826697986727572,,,,,,,-0.04942844659840663,4.0,,,,,,,,,,,,,-0.8663656164679127,5.0,,,,,,,,,,,,,1.4306384101630725,5.0,,,,,,,,,,,,,-0.9622491604798294,0.0,,,,,,,,,,
