mics,hemisphere,network,label,t1_gradient1_SalVentAttn,fc_g1,fc_g1_network,network_int,t1_gradient1_Limbic,t1_gradient1_Default,t1_gradient1_Cont,t1_gradient1_DorsAttn,t1_gradient1_Vis,t1_gradient1_SomMot,Limbic_SC_P,Limbic_SC_dominant,Default_SC_P,Default_SC_dominant,Cont_SC_P,Cont_SC_dominant,SalVentAttn_SC_P,SalVentAttn_SC_dominant,DorsAttn_SC_P,DorsAttn_SC_dominant,Vis_SC_P,Vis_SC_dominant,SomMot_SC_P,SomMot_SC_dominant,Limbic_GD_P,Limbic_GD_dominant,Default_GD_P,Default_GD_dominant,Cont_GD_P,Cont_GD_dominant,SalVentAttn_GD_P,SalVentAttn_GD_dominant,DorsAttn_GD_P,DorsAttn_GD_dominant,Vis_GD_P,Vis_GD_dominant,SomMot_GD_P,SomMot_GD_dominant,Limbic_MPC_P,Limbic_MPC_dominant,Default_MPC_P,Default_MPC_dominant,Cont_MPC_P,Cont_MPC_dominant,SalVentAttn_MPC_P,SalVentAttn_MPC_dominant,DorsAttn_MPC_P,DorsAttn_MPC_dominant,Vis_MPC_P,Vis_MPC_dominant,SomMot_MPC_P,SomMot_MPC_dominant,Limbic_FC_P,Limbic_FC_dominant,Default_FC_P,Default_FC_dominant,Cont_FC_P,Cont_FC_dominant,SalVentAttn_FC_P,SalVentAttn_FC_dominant,DorsAttn_FC_P,DorsAttn_FC_dominant,Vis_FC_P,Vis_FC_dominant,SomMot_FC_P,SomMot_FC_dominant
1040.0,LH,SomMot,7Networks_LH_SomMot_9,,5.3801007,5.509787,5.0,,,,,,0.3675228318660524,,,,,,,,,,,,,1.4988738746804295,4.0,,,,,,,,,,,,,-0.6504405218634203,1.0,,,,,,,,,,,,,-0.052799452339437794,1.0,,,,,,,,,,,,,-0.45686801331649796,4.0
1039.0,LH,SomMot,7Networks_LH_SomMot_8,,5.464521,5.509787,5.0,,,,,,-0.17991870891314185,,,,,,,,,,,,,1.5207584345174412,4.0,,,,,,,,,,,,,-0.6566146732908429,1.0,,,,,,,,,,,,,-0.49348306159793776,1.0,,,,,,,,,,,,,-0.45041099390753514,4.0
1039.0,LH,SomMot,7Networks_LH_SomMot_8,,5.520603,5.509787,5.0,,,,,,-0.1880354357355758,,,,,,,,,,,,,1.3876528169964573,4.0,,,,,,,,,,,,,-0.6825761119781808,1.0,,,,,,,,,,,,,-0.32091524957903556,1.0,,,,,,,,,,,,,-0.29444768121332976,4.0
1039.0,LH,SomMot,7Networks_LH_SomMot_8,,5.473614,5.509787,5.0,,,,,,0.3571769019850065,,,,,,,,,,,,,1.2499208599147582,4.0,,,,,,,,,,,,,-0.7196074576752918,1.0,,,,,,,,,,,,,-0.2591500977631413,1.0,,,,,,,,,,,,,-0.8455396931457317,1.0
1039.0,LH,SomMot,7Networks_LH_SomMot_8,,5.3250546,5.509787,5.0,,,,,,0.2638155813696925,,,,,,,,,,,,,1.2239606100366067,4.0,,,,,,,,,,,,,-0.7641870102312301,1.0,,,,,,,,,,,,,-0.3901858521476894,1.0,,,,,,,,,,,,,-1.4576178383060017,1.0
1036.0,LH,SomMot,7Networks_LH_SomMot_5,,5.2707634,5.509787,5.0,,,,,,0.6895266218057591,,,,,,,,,,,,,1.5915761784828244,4.0,,,,,,,,,,,,,-0.804023373931479,1.0,,,,,,,,,,,,,0.3035320575952864,1.0,,,,,,,,,,,,,-0.9788428899097255,6.0
1036.0,LH,SomMot,7Networks_LH_SomMot_5,,5.277173,5.509787,5.0,,,,,,0.21156317091682686,,,,,,,,,,,,,2.1600648822085073,4.0,,,,,,,,,,,,,-0.834570339657176,1.0,,,,,,,,,,,,,-0.033925477541155435,1.0,,,,,,,,,,,,,-0.19318444507261492,6.0
1137.0,LH,Cont,7Networks_LH_Cont_PFCl_3,,-5.0772767,-4.458974,0.0,,,-0.7010363454122314,,,,,,,,-0.9251413545279396,1.0,,,,,,,,,,,,,-1.5152116640198041,1.0,,,,,,,,,,,,,-0.48209218610270327,1.0,,,,,,,,,,,,,0.00103392512923789,1.0,,,,,,,,
1137.0,LH,Cont,7Networks_LH_Cont_PFCl_3,,-4.7137027,-4.458974,0.0,,,-0.4614554091937979,,,,,,,,-1.1930380456978182,1.0,,,,,,,,,,,,,-1.43169090902449,1.0,,,,,,,,,,,,,-0.6422151255439482,1.0,,,,,,,,,,,,,0.42448340585411365,1.0,,,,,,,,
1136.0,LH,Cont,7Networks_LH_Cont_PFCl_2,,-4.139415,-4.458974,0.0,,,-0.7201886157898415,,,,,,,,-1.1479465916407128,1.0,,,,,,,,,,,,,-1.3555623233747987,1.0,,,,,,,,,,,,,-1.2080146327124173,1.0,,,,,,,,,,,,,0.7642912977998134,4.0,,,,,,,,
