roi,mics,label,R,G,B,A,coor.x,coor.y,coor.z,network,hemisphere,network_int,bigbrain_g2,bigbrain_g2_network,t1_gradient1_Limbic,quantile_idx,Limbic_diff,t1_gradient1_Default,Default_diff,t1_gradient1_Cont,Cont_diff,t1_gradient1_SalVentAttn,SalVentAttn_diff,t1_gradient1_DorsAttn,DorsAttn_diff,t1_gradient1_Vis,Vis_diff,t1_gradient1_SomMot,SomMot_diff
40,1039,7Networks_LH_SomMot_8,70.0,129.0,178.0,0.0,-49.0,-13.0,14.0,SomMot,LH,5.0,0.15653668344020844,0.19480079292416475,,,2.349845,,-2.4399376,,-0.53903913,,-0.5771311,,0.004302546,,0.21742034,-0.11190513136710253,
41,1040,7Networks_LH_SomMot_9,70.0,129.0,179.0,0.0,-60.0,-2.0,11.0,SomMot,LH,5.0,0.031701985746622086,0.19480079292416475,,,0.43452966,,-0.823703,,-0.2891646,,1.0902077,,-0.7420267,,1.4107223,-0.43930258737161165,
42,1041,7Networks_LH_SomMot_10,70.0,129.0,180.0,0.0,-48.0,-24.0,18.0,SomMot,LH,5.0,0.13724595308303833,0.19480079292416475,,,1.0805899,,-1.9255686,,-0.23227668,,-0.0040477845,,0.24529777,,0.388373,-0.25369411923268886,
43,1042,7Networks_LH_SomMot_11,70.0,130.0,173.0,0.0,-61.0,-18.0,19.0,SomMot,LH,5.0,-0.0037035539280623198,0.19480079292416475,,-1.0,0.3436886,,-2.0340612,,0.102444254,,0.05919106,,-0.19325332,,0.1709155,-0.7919504128184381,
44,1043,7Networks_LH_SomMot_12,70.0,130.0,174.0,0.0,-59.0,-2.0,23.0,SomMot,LH,5.0,0.26806265115737915,0.19480079292416475,,-1.0,0.19688794,,-1.7234141,,-0.16032884,,1.1410785,,-1.0229393,,1.3002497,-0.7226512091623238,
45,1044,7Networks_LH_SomMot_13,70.0,130.0,175.0,0.0,-63.0,-10.0,31.0,SomMot,LH,5.0,-0.05196993425488472,0.19480079292416475,,-1.0,0.94879013,,-1.4305598,,-0.30277488,,0.53185755,,-0.51452416,,1.0222785,-0.7023789315850343,
46,1045,7Networks_LH_SomMot_14,70.0,130.0,176.0,0.0,-53.0,-9.0,30.0,SomMot,LH,5.0,0.17618177831172943,0.19480079292416475,,,0.88574255,,-2.2790222,,-0.22476532,,0.150042,,-1.0497807,,0.6069041,-0.1196554267123901,
47,1046,7Networks_LH_SomMot_15,70.0,130.0,177.0,0.0,-55.0,-20.0,41.0,SomMot,LH,5.0,-0.006652425043284893,0.19480079292416475,,-1.0,0.09366607,,-1.2425164,,0.57007563,,0.88900864,,-0.92129135,,1.0524551,-1.0551960948393138,
48,1047,7Networks_LH_SomMot_16,70.0,130.0,178.0,0.0,-51.0,-7.0,43.0,SomMot,LH,5.0,0.08696984499692917,0.19480079292416475,,,1.0777256,,-1.4830642,,-0.13108036,,1.0896814,,-1.3745184,,1.711652,-0.26308695560861284,
49,1048,7Networks_LH_SomMot_17,70.0,130.0,179.0,0.0,-48.0,-16.0,40.0,SomMot,LH,5.0,0.20340664684772491,0.19480079292416475,,,0.73763746,,-0.7642809,,-0.40453947,,0.45406803,,-0.74554753,,0.82693195,0.3846037306971689,
50,1049,7Networks_LH_SomMot_18,70.0,130.0,181.0,0.0,-8.0,-15.0,47.0,SomMot,LH,5.0,0.07219201326370239,0.19480079292416475,,1.0,-0.8766707,,2.4769166,,-0.41097847,,3.145032,,0.8025302,,-0.03140166,0.47889002401027186,
51,1050,7Networks_LH_SomMot_19,70.0,130.0,182.0,0.0,-41.0,-14.0,47.0,SomMot,LH,5.0,0.33522161841392517,0.19480079292416475,,,-0.046263363,,-1.0410848,,-0.051978104,,0.7519657,,-1.3260504,,1.5877123,-0.49257269782524477,
52,1051,7Networks_LH_SomMot_20,70.0,130.0,183.0,0.0,-49.0,-17.0,54.0,SomMot,LH,5.0,0.3923249840736389,0.19480079292416475,,1.0,2.0565443,,-0.8804158,,-0.121769704,,0.42865643,,-1.1501526,,1.9367557,1.3288200666422316,
53,1052,7Networks_LH_SomMot_21,70.0,130.0,184.0,0.0,-48.0,-29.0,58.0,SomMot,LH,5.0,0.24678924679756165,0.19480079292416475,,-1.0,1.1154603,,-1.1295766,,0.5879157,,0.44459474,,-1.3653102,,1.97217,-0.983490318795602,
54,1053,7Networks_LH_SomMot_22,70.0,130.0,185.0,0.0,-39.0,-25.0,53.0,SomMot,LH,5.0,0.5112276673316956,0.19480079292416475,,,0.6243337,,-0.21291283,,-0.054832887,,-0.42608956,,-1.7071351,,1.0733947,0.019987217478356144,
